sample_id,method,median_seconds,min_seconds,max_seconds,common_preprocess_median_seconds,fixed_graph_end_to_end_median_seconds,warmup_python_peak_bytes,endpoint_optimizations
controlled-v1/gas_background_and_anchors/04,BOUNDED_REACHABILITY,0.0003659999929368496,0.0001880999916465953,0.0004442999925231561,7.100000220816582e-05,0.0004369999951450154,12833,0
controlled-v1/gas_background_and_anchors/04,POISON,0.00042969999776687473,0.0001424999936716631,0.0005501999985426664,7.100000220816582e-05,0.0005006999999750406,13254,0
controlled-v1/gas_background_and_anchors/04,HAIRCUT,0.0005731999990530312,0.0005582000012509525,0.0007040000054985285,7.100000220816582e-05,0.000644200001261197,22573,0
controlled-v1/gas_background_and_anchors/05,BALANCE_INFORMATION_REMOVED,0.026932999986456707,0.025612699988414533,0.030266500005382113,4.270000499673188e-05,0.02697569999145344,64570,6
controlled-v1/gas_background_and_anchors/05,FULL_INTERVAL,0.02652430000307504,0.02538200000708457,0.028293800001847558,4.270000499673188e-05,0.026567000008071773,63031,6
controlled-v1/gas_background_and_anchors/05,BOUNDED_REACHABILITY,0.00043200000072829425,0.0003282999969087541,0.0004734999965876341,4.270000499673188e-05,0.00047470000572502613,12913,0
controlled-v1/gas_background_and_anchors/05,POISON,0.000264899994363077,0.0001618999958736822,0.0004774999979417771,4.270000499673188e-05,0.00030759999935980886,13334,0
controlled-v1/gas_background_and_anchors/05,HAIRCUT,0.0005684000061592087,0.0005420000088633969,0.0006483000033767894,4.270000499673188e-05,0.0006111000111559406,22934,0
controlled-v1/gas_background_and_anchors/05,NO_CROSS_TARGET_COUPLING,0.019181699986802414,0.01845540000067558,0.020956799999112263,4.270000499673188e-05,0.019224399991799146,82801,4
controlled-v1/gas_background_and_anchors/05,NO_PROTOCOL_CONTINUATION,0.02687240000523161,0.02334480000718031,0.02830520000134129,4.270000499673188e-05,0.026915100010228343,62871,6
controlled-v1/gas_background_and_anchors/06,BOUNDED_REACHABILITY,0.0005132000078447163,0.00040410000656265765,0.0006914999976288527,1.5700003132224083e-05,0.0005289000109769404,12913,0
controlled-v1/gas_background_and_anchors/06,POISON,0.00047759999870322645,0.00019839999731630087,0.0006349000032059848,1.5700003132224083e-05,0.0004933000018354505,13334,0
controlled-v1/gas_background_and_anchors/06,HAIRCUT,0.0005832000024383888,0.000564800007850863,0.0007926000107545406,1.5700003132224083e-05,0.0005989000055706128,23017,0
controlled-v1/gas_background_and_anchors/06,NO_CROSS_TARGET_COUPLING,0.020196600002236664,0.0196490999951493,0.020717199993669055,1.5700003132224083e-05,0.02021230000536889,82799,4
controlled-v1/gas_background_and_anchors/06,NO_PROTOCOL_CONTINUATION,0.026465300004929304,0.0247049000026891,0.03235570000833832,1.5700003132224083e-05,0.026481000008061528,62494,6
controlled-v1/gas_background_and_anchors/06,BALANCE_INFORMATION_REMOVED,0.02665639999031555,0.024958699999842793,0.02849560001050122,1.5700003132224083e-05,0.026672099993447773,64838,6
controlled-v1/gas_background_and_anchors/06,FULL_INTERVAL,0.02935599999909755,0.026250800001434982,0.03490539999620523,1.5700003132224083e-05,0.029371700002229773,62409,6
controlled-v1/gas_background_and_anchors/07,HAIRCUT,0.000636800003121607,0.0004044999950565398,0.0009175999875878915,4.2100000428035855e-05,0.0006789000035496429,21014,0
controlled-v1/gas_background_and_anchors/07,NO_CROSS_TARGET_COUPLING,0.01929270000255201,0.016868500009877607,0.02280189999146387,4.2100000428035855e-05,0.019334800002980046,82342,4
controlled-v1/gas_background_and_anchors/07,NO_PROTOCOL_CONTINUATION,0.028281999999308027,0.024807900001178496,0.03087640000740066,4.2100000428035855e-05,0.028324099999736063,62990,6
controlled-v1/gas_background_and_anchors/07,BALANCE_INFORMATION_REMOVED,0.029738700002781115,0.028785699993022718,0.033085000002756715,4.2100000428035855e-05,0.02978080000320915,64488,6
controlled-v1/gas_background_and_anchors/07,FULL_INTERVAL,0.027665000001434237,0.024851800000760704,0.03016159999242518,4.2100000428035855e-05,0.027707100001862273,62787,6
controlled-v1/gas_background_and_anchors/07,BOUNDED_REACHABILITY,0.00035430000571068376,0.0003352999920025468,0.0004165999998804182,4.2100000428035855e-05,0.0003964000061387196,12913,0
controlled-v1/gas_background_and_anchors/07,POISON,0.0003561999910743907,0.00033549999352544546,0.0006808999896747991,4.2100000428035855e-05,0.00039829999150242656,13334,0
controlled-v1/gas_background_and_anchors/08,FULL_INTERVAL,0.025657999998657033,0.025158999997074716,0.02664050000021234,5.729999975301325e-05,0.025715299998410046,62801,6
controlled-v1/gas_background_and_anchors/08,BOUNDED_REACHABILITY,0.00035820000630337745,0.0003345000004628673,0.0003654000029200688,5.729999975301325e-05,0.0004155000060563907,12913,0
controlled-v1/gas_background_and_anchors/08,POISON,0.0003504000051179901,0.00033830000029411167,0.00044319999869912863,5.729999975301325e-05,0.00040770000487100333,13334,0
controlled-v1/gas_background_and_anchors/08,HAIRCUT,0.0006087000074330717,0.00026509999588597566,0.0006844000017736107,5.729999975301325e-05,0.000666000007186085,22934,0
controlled-v1/gas_background_and_anchors/08,NO_CROSS_TARGET_COUPLING,0.01949790000799112,0.018582999997306615,0.020710199998575263,5.729999975301325e-05,0.019555200007744133,82896,4
controlled-v1/gas_background_and_anchors/08,NO_PROTOCOL_CONTINUATION,0.027858299989020452,0.024451500008581206,0.03148600000713486,5.729999975301325e-05,0.027915599988773465,62986,6
controlled-v1/gas_background_and_anchors/08,BALANCE_INFORMATION_REMOVED,0.026848099994822405,0.025737399992067367,0.02891579999413807,5.729999975301325e-05,0.02690539999457542,64426,6
controlled-v1/gas_background_and_anchors/09,HAIRCUT,0.0006781000120099634,0.0002351000002818182,0.001222200007759966,1.5099998563528061e-05,0.0006932000105734915,21014,0
controlled-v1/gas_background_and_anchors/09,NO_CROSS_TARGET_COUPLING,0.02082160000281874,0.02004450000822544,0.023394600008032285,1.5099998563528061e-05,0.02083670000138227,82226,4
controlled-v1/gas_background_and_anchors/09,NO_PROTOCOL_CONTINUATION,0.025458099989918992,0.02232160000130534,0.026985499993315898,1.5099998563528061e-05,0.02547319998848252,62869,6
controlled-v1/gas_background_and_anchors/09,BALANCE_INFORMATION_REMOVED,0.02839510000194423,0.028084599995054305,0.029963499997393228,1.5099998563528061e-05,0.028410200000507757,64626,6
controlled-v1/gas_background_and_anchors/09,FULL_INTERVAL,0.028126399993197992,0.027314400009345263,0.028989400001592003,1.5099998563528061e-05,0.02814149999176152,62571,6
controlled-v1/gas_background_and_anchors/09,BOUNDED_REACHABILITY,0.0003311000036774203,0.00017720001051202416,0.00036359998921398073,1.5099998563528061e-05,0.0003462000022409484,12913,0
controlled-v1/gas_background_and_anchors/09,POISON,0.00035650000791065395,0.0003404999879421666,0.00037740000698249787,1.5099998563528061e-05,0.000371600006474182,13334,0
controlled-v1/canonical_weth_1to1/00,POISON,0.0003372000064700842,0.0003009999927598983,0.00041009999404195696,1.6399993910454214e-05,0.0003536000003805384,12021,0
controlled-v1/canonical_weth_1to1/00,HAIRCUT,0.00022790000366512686,0.00018010000349022448,0.0005393000028561801,1.6399993910454214e-05,0.0002442999975755811,16119,0
controlled-v1/canonical_weth_1to1/00,NO_CROSS_TARGET_COUPLING,0.010022400005254894,0.006986599997617304,0.010516799986362457,1.6399993910454214e-05,0.010038799999165349,40919,2
controlled-v1/canonical_weth_1to1/00,NO_PROTOCOL_CONTINUATION,0.008361100000911392,0.006504800010588951,0.012610399993718602,1.6399993910454214e-05,0.008377499994821846,32737,2
controlled-v1/canonical_weth_1to1/00,BALANCE_INFORMATION_REMOVED,0.011008800007402897,0.009262700012186542,0.01242169999750331,1.6399993910454214e-05,0.011025200001313351,33748,2
controlled-v1/canonical_weth_1to1/00,FULL_INTERVAL,0.009281600010581315,0.00803710000764113,0.01016830001026392,1.6399993910454214e-05,0.009298000004491769,32741,2
controlled-v1/canonical_weth_1to1/00,BOUNDED_REACHABILITY,0.00018869999621529132,0.00012900000729132444,0.00045340000360738486,1.6399993910454214e-05,0.00020509999012574553,11685,0
controlled-v1/canonical_weth_1to1/01,POISON,0.00016280000272672623,0.00014649999502580613,0.00082970000221394,1.8499995348975062e-05,0.0001812999980757013,14857,0
controlled-v1/canonical_weth_1to1/01,HAIRCUT,0.0005729999975301325,0.00024649999977555126,0.0007099999929778278,1.8499995348975062e-05,0.0005914999928791076,19746,0
controlled-v1/canonical_weth_1to1/01,NO_CROSS_TARGET_COUPLING,0.019547999996575527,0.018100400004186668,0.02213459998893086,1.8499995348975062e-05,0.019566499991924502,57683,4
controlled-v1/canonical_weth_1to1/01,NO_PROTOCOL_CONTINUATION,0.028632300003664568,0.026520400002482347,0.033479599995189346,1.8499995348975062e-05,0.028650799999013543,50800,6
controlled-v1/canonical_weth_1to1/01,BALANCE_INFORMATION_REMOVED,0.03290669999842066,0.030196099993190728,0.03589009999996051,1.8499995348975062e-05,0.03292519999376964,52406,6
controlled-v1/canonical_weth_1to1/01,FULL_INTERVAL,0.03190080000786111,0.02993969999079127,0.035521600002539344,1.8499995348975062e-05,0.03191930000321008,51002,6
controlled-v1/canonical_weth_1to1/01,BOUNDED_REACHABILITY,0.00044169998727738857,0.00016969999705906957,0.0006292000034591183,1.8499995348975062e-05,0.00046019998262636364,14395,0
controlled-v1/canonical_weth_1to1/02,FULL_INTERVAL,0.009813000011490658,0.00915779999922961,0.010630100005073473,5.7199998991563916e-05,0.009870200010482222,32760,2
controlled-v1/canonical_weth_1to1/02,BOUNDED_REACHABILITY,0.0005485000001499429,0.0004944000102113932,0.0007070999999996275,5.7199998991563916e-05,0.0006056999991415069,11685,0
controlled-v1/canonical_weth_1to1/02,POISON,0.0004650000046240166,0.0004064000095240772,0.0005320999916875735,5.7199998991563916e-05,0.0005222000036155805,12149,0
controlled-v1/canonical_weth_1to1/02,HAIRCUT,0.0004254000086802989,0.00024380000832024962,0.0007339000003412366,5.7199998991563916e-05,0.00048260000767186284,18295,0
controlled-v1/canonical_weth_1to1/02,NO_CROSS_TARGET_COUPLING,0.010826600002474152,0.00976980000268668,0.013898399993195198,5.7199998991563916e-05,0.010883800001465715,41480,2
controlled-v1/canonical_weth_1to1/02,NO_PROTOCOL_CONTINUATION,0.008735999988857657,0.008090600007562898,0.01065039999957662,5.7199998991563916e-05,0.00879319998784922,32578,2
controlled-v1/canonical_weth_1to1/02,BALANCE_INFORMATION_REMOVED,0.010638099993229844,0.009620700002415106,0.014092600002186373,5.7199998991563916e-05,0.010695299992221408,33807,2
controlled-v1/canonical_weth_1to1/03,NO_CROSS_TARGET_COUPLING,0.01853339999797754,0.01719240000238642,0.020097999993595295,5.639999289996922e-05,0.01858979999087751,57021,4
controlled-v1/canonical_weth_1to1/03,NO_PROTOCOL_CONTINUATION,0.02808980000554584,0.022964000003412366,0.028913100002682768,5.639999289996922e-05,0.02814619999844581,50976,6
controlled-v1/canonical_weth_1to1/03,BALANCE_INFORMATION_REMOVED,0.02503920000162907,0.02321769999980461,0.02606530000048224,5.639999289996922e-05,0.02509559999452904,52179,6
